분류,글귀
깨우쳐서 깨우침을 깨우쳤고 방법을 방법에,물고기를 주어라. 한 끼를 먹을 것이다. 물고기 잡는 법을 가르쳐 주어라. 평생을 먹을 것이다. 탈무드
게으르게 게으른 게을러서 게을렀다 게을러,태만은 천천히 움직이므로 가난이 곧 따라잡는다. 프랭클린
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서,작은 도끼라도 찍고 찍으면 큰 참나무는 넘어진다. 세익스피어
참고 참아내고 참았고 참아서 참았는데,절제는 모든 미덕의 진주 고리를 이어주는 비단의 실이다. 홀
가능성이 가능성을 잠재력이 잠재력을,"1퍼센트의 가능성, 곧 그것이 나의 길이다. 나폴레옹"
과거에 과거를 후회하지 후회하고 후회하며 후회하는,"내일에 아무런 도움이 되지 않는다면, 당신의 과거는 쫓아버려라. 오슬러"
마무리를 마무리가 끝이 유종의 유종의미를,중요한 건 당신이 어떻게 시작했는가가 아니라 어떻게 끝내는가이다. 앤드류 메튜스
최선을 주어진 다하면 계속 계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 하다보면,어쨌든 노력을 계속하세요. 그렇게 하는 가운데 언젠가는 반드시 자신과 용기가 솟아나게 될 것입니다. 다란벨
목표를 목표가 목표설정을 목표,목표란 우리들이 계속 앞으로 나아가도록 해주는 것이다. 앤드류 메튜스
최선을 주어진 다하면 계속 계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 하다보면,오늘을 붙들어라! 되도록 내일에 의지하지 말라! 그날 그날이 일년 중에서 최선의 날이다. 에머슨
소소한 사소한 행운이 행운을,행운은 자주 문을 두드리나 미련한 자는 그것을 받아들이지 않는다. 덴마크 속담
양심을 양심에 양심있게 양심있는,선은 오직 하나 밖에 없다. 그것은 자기 양심에 따라 행동하는 일이다. 보봐르
힘들었던 힘들었다 힘들었는데 힘들어서 힘들던,추위에 떤 자일수록 태양의 따뜻함을 느낀다. 인생의 고뇌를 맛본 자일수록 생명의 존귀함을 느낀다. 호이토 맨
분한 화가 화나서 화나는 참아야 참아서 참았는데 참는,한때의 분한 감정일랑 참으라. 그러면 백일의 근심을 모면할 것이다. 경함록
게으르게 게으른 게을러서 게을렀다 게을러 게으름 빈둥대는 빈둥대서 빈둥거려서,게으름은 쇠붙이의 녹과 같다. 노동보다도 더 심신을 소모시킨다. 프랭클린
기회를 기회는 기회가,"기회는 새와 같은 것, 날아가기 전에 꼭 잡아라. 스마일즈"
도박을 도박이 내기를 내기해서,도박을 즐기는 모든 인간은 불확실한 것을 얻기 위해서 확실한 것을 걸고 내기를 한다. 파스칼
실수를 실수해서 질문을,한 번 실수하는 것보다 두 번 묻는 것이 더 낫다. 독일 속담
기회비용은 기회비용을 기회비용이,가시에 찔리지 않고서는 장미꽃을 모을 수가 없다. 필페이
봉사활동 봉사를 봉사활동을 나눔의 베푸는 베풀고 베풀어서,기쁨을 주는 사람만이 더 많은 기쁨을 즐길 수 있다. 알렌산더 듀마
봉사활동 봉사를 봉사활동을 나눔의 베푸는 베풀고 베풀어서,네가 가지고 있는 최선의 것을 세상에 주라. 그러면 최선의 것이 돌아오리라. M.A 베레
돌다리도 주의를 주의깊게 조심히 조심해서 조심하는,얇은 얼음에서 스케이트를 탈 때 우리의 안전은 속도에 있다. 에머슨
인생은 존재의 존재에 선택에 선택의 결과가,인간이란 미소와 눈물 사이를 왕래하는 시계추와 같은 것이다. 바이런
리더 리더의 리더가 리더는,남을 따르는 법을 알지 못하는 사람은 좋은 지도자가 될 수 없다. 아리스토텔레스
방향을 방향이 선택이 선택을 어떻게 어떡하면,위대한 것은 방향을 결정하는 것이다. 니체
쫓기는 쫓기지 쫓겨 시간에,일을 쫓아라. 일에 쫓기지 말라. 프랭클린
부주의해서 주의를 주의해서 주의하는 입조심을 입조심하고 입조심하는 입조심해야 말조심을 말조심하고 말조심하는 말조심해야,"행동에 부주의하지 말며, 말에 혼동되지 말며, 생각에 방황하지 말라. 마르크스아우렐리우스"
준비하는 준비하고 대비하는 행운이,행운은 마음의 준비가 있는 사람에게만 미소를 짓는다. 파스퇴르
말한마디 말조심을 말조심하고 말조심하는 말조심해야,친절한 말은 봄볕과 같이 따사롭다. 러시아 속담
시도 첫도전 첫번째 도전하고 도전하는 노력하는 시도하는,계단을 밟아야 계단 위에 올라설 수 있다. 터키 속담
꿈을 향해 도전하고 도전하는 노력하는,오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다. 앙드레 말로
한걸음씩 조금씩 꾸준히 꾸준하게 주어진 다하면 계속해서,좋은 성과를 얻으려면 한 걸음 한 걸음이 힘차고 충실하지 않으면 안된다. 단테
독서 책을 책읽는 책 독서하는 독서를,독서가 정신에 미치는 영향은 운동이 육체에 미치는 영향과 같아. 에디슨
엄마가 엄마를 어머니를 어머니가 효도 효도하고 효도를,세계와 나의 어머니를 저울질 한다면 세계 쪽이 훨씬 가벼울 것이다. 랑구랄
자존심을 자존심이 자존심까지,성공하기를 바라는 자는 자존심까지도 포기해야 할 것이다. C. 힐티
생각해서 생각하는 생각을 생각은 생각이하는대로 마음가짐이 마음가짐을 마음가짐으로이 마음가짐이 마음가짐을 마음가짐으로을,인간은 자기가 생각하고 있는 것과 같은 인간이 된다. 힌두교 경전
불필요한 무소유 무소유를 무소유에 비움을,무소유란 아무것도 갖지 않는 것이 아니라 불필요한 것을 갖지 않는다는 것이다. 법정 스님
비교하지 비교하는 비교하면 비교당해서 비교당하는 비교당했던,남의 생활과 비교하지 말고 네 자신의 생활을 즐겨라. 콩도르세
의욕이 의욕적인 의욕,의욕적인 목표가 인생을 즐겁게 한다. 로버트 슐러
마지막까지 끝까지 꾸준히 꾸준하게,끝까지 하면 프로다. 김창완
배움이 배우고 묻고 깊게 깊이,"넓게 배우고, 의문이 있으면 곧 묻고, 삼가 이를 깊이 생각하라. 중용"
경험이 경험을 겪어보는 겪는,학문 없는 경험은 경험 없는 학문보다 낫다. 서양 격언
집중해서 집중과,성공하는 사람은 송곳처럼 어느 한 점을 향하여 일한다. 보비
아는체 모르면 솔직하게 솔직한,"아는 것을 안다 하고, 모르는 것을 모른다 하는 것이 말의 근본이다. 순자"
말조심을 말조심하고 말조심하는 말조심해야 입조심을 입조심하고 입조심하는 입조심해야,말도 아름다운 꽃처럼 그 색깔을 지니고 있다. E.리스
구속하고 구속하는,사랑은 지배하는 것이 아니라 자유를 주는 것이다. 에리히 프롬
도전하는 도전하고 실행하는 실행하고,승자는 문제 속에 뛰어든다. 패자는 문제의 변두리에서만 맴돈다. 빅토르 위고
배우고 배움은 배워야 실행하고 실행하는,오늘 죽을 것처럼 행동하고 영원히 살 것처럼 배워라. 간디
희망을 긍정적인 긍정적으로,희망을 가져본 적이 없는 자는 절망할 자격도 없다. 버나드 쇼
용기있게 용기있는 용기를 용기가,용기는 악운을 깨뜨린다. 세르반테스
자기개발 자기계발 미래를 미리 준비하는,자신의 능력을 개발하지 않는 자는 때로는 자신을 멸망시킨다. 토마스 칼라일
대충 대충대충 대충해서 대충했는데,대충대충 하려면 아예 시작도 하지 말라. 성신제
자기개발 자기계발 미래를 미리 준비하는,준비에 실패하는 것은 실패를 준비하는 것이다. 데일카네기
자신감이 자신감을,이긴다고 생각하면 이긴다. 승리는 자신감을 가진 사람의 편이다. 가토 마사오
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 목표를,성공의 비밀은 목표의 지속성에 있다. 벤저민 디즈라엘리
개선을 개선점 개선점을 개선하여 나은 변화를,날마다 하던 방식대로 하고 있다면 그건 확실히 잘못된 것이다. 찰스 케터링
실수를 실수해서 만회하고 만회하여 만회해서 만회하는,인생은 실수를 저지르고 실수를 고쳐나가는 과정이다. 요나스 서크
용서하고 용서하는 용서할 용서를 복수하고 복수를,용서처럼 완전한 복수는 없다. 조쉬 빌링스
고생끝에 고생 고생했고 고생해서 수고했다 수고했고,구름이나 소나기가 없이는 결코 무지개가 서지 않는다. J.H. 빈센트
믿음을 믿어서 믿었고 믿었는데 믿고,모든 공포는 믿음의 결핍으로부터 나온다. 간디
의욕이 의욕적인 의욕,의욕만 있다면 할 일은 얼마든지 있다. 쿠사카 카만도
버티고 버티는 버티다보면 버틸 견뎌 견디고 견디는 견딜,나를 죽이지 못하는 것은 끝내 나를 강하게 만들리라. 니체
빈둥대는 빈둥대지 빈둥거리는 빈둥거리고 공허하게 공허한,빈둥대는 것과 공허하게 있는 것보다 더 유해한 것은 없다. 마르쉘 휼
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 목표를,진정한 성공에 지름길은 없다. 마이클 조던
용기있게 용기있는 용기를 용기가,용기가 없으면 어떤 것도 이룰 수 없다. 괴테
노력하는 노력하고 노력해서 즐기는 천재는 노력형 꾸준히 꾸준한 꾸준하게 인내하고 인내하는 의지를 의지박약인,천재는 노력하는 사람을 이길 수 없고 노력하는 사람은 즐기는 사람을 이길 수 없다. 롤프 메르쿨레
노력하는 노력하고 노력해서 열심히 성공하고 성공해야 성공할 결과가 결과를 꾸준히 꾸준하게 꾸준한 인내하는,"성공이란 결과로 측정하는 게 아니라, 그것에 소비한 노력의 총계로 따져야 할 것이다. 에디슨"
게으르게 게으르지 게을러 게을러서 게으른 게으름 보상을 보상받고 결과과 결과를 열심히 부지런히 대가를,가장 바쁜 사람이 가장 많은 시간을 갖는다. 부지런히 노력하는 사람이 결국 많은 대가를 얻는다. 알렉산드리아 피네
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 의지를 의지박약인 노력하는 노력하고 성공을 성공할,"의지, 노력, 기다림은 성공의 주춧돌이다. L.파스퇴르"
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 열정이 열정 열심히 꾸준히 꾸준한 참는,인내없는 열정은 광기에 불과하다. 토마스 홉스
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 노력하는 노력하고 목적을 달성하는 달성하고 끈기를,목적을 이루기 위해서 오랜 인내를 하기보다는 눈부신 노력을 하는 편이 쉽다. 라 브뤼에르
인내하고 인내하는 참는 참고 견디는 견뎌 의지를 도전하고 도전 응원하는 노력하는 노력하고,모든 것을 인내로 대하는 사람만이 모든 것에 도전한다. 바우베낙스
노력하는 노력하고 보상을 열정을 열심히 응원받고 응원하고 응원하는 의지를 의지박약인,노력이 적으면 얻는 것도 적다. 인간의 재산은 그의 노고에 달렸다. 헤리크
실천하는 실천하고 실천이 행동이 행동을 실행을 실행하기 용기를 응원받고 계획을 계획하고 계획한 계획해서,추상적인 노력보다 구체적인 계획들을 실천해야 성공한다.
노력하는 노력하고 노력을 성공하고 성공을 믿음을 믿고 열심히 꾸준히 꾸준하게 자신감을 자신감이 자신감,"노력은 성공을 가져다 주는 것은 아니지만, 나를 배신하지는 않을 것이다."
믿는대로 생각대로 믿고 믿음을 믿는 노력하는 노력하고 노력해서 실천하는 실천을 자신감을 생각하는대로,당신이 할 수 있다고 믿든 할 수 없다고 믿든 믿는대로 될 것이다. 헨리 포드
